property_title,locality,price_per_sqft,plot_area_sqft,dimensions,ownership,approval_authority,facing,gated_community,rounded_price_rs
Plot/Land for Sale in Kompally Hyderabad,Kompally Hyderabad,9444,3600,60 X 60,Freehold,HMDA,,Yes,34000000
Plot/Land for Sale in Mokila Hyderabad,Mokila Hyderabad,6111,2232,186 X 12,,HMDA,,Yes,13600000
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,5106,8460,,,,,Yes,43200000
"Plot/Land for Sale in Rudraram, NH 9 Hyderabad",Rudraram,2222,4950,,,,,Yes,11000000
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,1313,1980,,,,,Yes,2600000
Plot/Land for Sale in Raghavendra Nagar Shivarampally Jagir Hyderabad,Raghavendra Nagar Shivarampally Jagir Hyderabad,85000,2000,150 X 120,Freehold,,,Yes,170000000
Plot/Land for Sale in Hyderguda Attapur Hyderabad,Hyderguda Attapur Hyderabad,15179,1647,50.7 X 32.5,,,,Yes,25000000
"Plot/Land for Sale in Kachiguda, NH 2 2 Hyderabad",Kachiguda,3333,540,,Freehold,,,Yes,1800000
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,2439,1476,108 X 13.7,Freehold,HMDA,,Yes,3600000
Plot/Land for Sale in Srisailam Highway Hyderabad,Srisailam Highway Hyderabad,1111,1350,42 X 33,Freehold,DTCP,East,No,1500000
Plot/Land for Sale in Bangalore Hyderabad Highway Hyderabad,Bangalore Hyderabad Highway Hyderabad,1444,1647,18.3 X 90,Freehold,DTCP,,Yes,2400000
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,2155,1485,135 X 96,Freehold,DTCP,East,No,3200000
"Plot/Land for Sale in Ghatkesar, NH 2 2 Hyderabad",Ghatkesar,1111,2340,,,,,Yes,2600000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1209,1323,,,DTCP,,Yes,1600000
"Plot/Land for Sale in Patancheru Industrial Area, Outer Ring Road Hyderabad",Patancheru Industrial Area,3337,2997,,,,,Yes,10000000
Plot/Land for Sale in Gajularamaram Hyderabad,Gajularamaram Hyderabad,4998,6003,,,,,Yes,30000000
Plot/Land for Sale in Gajularamaram Hyderabad,Gajularamaram Hyderabad,7333,1800,180 X 90,,,,Yes,13200000
"Plot/Land for Sale in Boduppal, NH 2 2 Hyderabad",Boduppal,8888,2376,,,,,Yes,21100000
"Plot/Land for Sale in Machabollaram, Medchal Road Hyderabad",Machabollaram,10000,1800,54.5 X 33,Freehold,GHMC,East,No,18000000
Plot/Land for Sale in Yacharam Hyderabad,Yacharam Hyderabad,6198,121,,Freehold,,East,No,700000
Plot/Land for Sale in Suchitra Road Hyderabad,Suchitra Road Hyderabad,8995,1890,36.6 X 51.6,,,,Yes,17000000
Plot/Land for Sale in Penjerla Hyderabad,Penjerla Hyderabad,1122,1782,,,,,Yes,2000000
Plot/Land for Sale in Sai Nagar Indresham Hyderabad,Sai Nagar Indresham Hyderabad,2500,1800,150 X 108,,HMDA,,Yes,4500000
Plot/Land for Sale in Mangalpally Hyderabad,Mangalpally Hyderabad,1333,1800,,,,,Yes,2400000
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,2360,4916,,,,,Yes,11600000
"Plot/Land for Sale in Hayat Nagar, Rajendra Nagar, Outer Ring Road Hyderabad",Hayat Nagar,3333,1287,,Freehold,GHMC,,Yes,4300000
"Plot/Land for Sale in Gundlapochampally, Outer Ring Road Hyderabad",Gundlapochampally,6081,1809,15.1 X 120,,HMDA,,Yes,11000000
Plot/Land for Sale in Medchal Hyderabad,Medchal Hyderabad,2222,3051,,,,,Yes,6800000
Plot/Land for Sale in Bibinagar Hyderabad,Bibinagar Hyderabad,2222,2250,,Freehold,,,Yes,5000000
"Plot/Land for Sale in Isnapur, Outer Ring Road Hyderabad",Isnapur,3209,2493,,,DTCP,,Yes,8000000
Plot/Land for Sale in Kallakal Hyderabad,Kallakal Hyderabad,2222,2115,,,,,Yes,4700000
Plot/Land for Sale in 5th City Kandukur Hyderabad,5th City Kandukur Hyderabad,34333,180,150 X 111,,HMDA,,Yes,6200000
Plot/Land for Sale in Medchal Hyderabad,Medchal Hyderabad,2444,9000,,,,,Yes,22000000
Plot/Land for Sale in Rachaloor Hyderabad,Rachaloor Hyderabad,2705,2403,,Freehold,HMDA,,Yes,6500000
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,2444,1800,,,,,Yes,4400000
Plot/Land for Sale in East Marredpally Hyderabad,East Marredpally Hyderabad,13333,4500,213 X 21.1,Freehold,,East,No,60000000
Plot/Land for Sale in Bhuvanagiri Hyderabad,Bhuvanagiri Hyderabad,1001,2997,,,,,Yes,3000000
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,6410,2340,,Freehold,,East,No,15000000
Plot/Land for Sale in Hayathnagar Khalsa Hyderabad,Hayathnagar Khalsa Hyderabad,7500,2400,60 X 40,Freehold,,East,No,18000000
Plot/Land for Sale in Nandigaon Hyderabad,Nandigaon Hyderabad,5389,1800,,Freehold,HMDA,East,No,9700000
"Plot/Land for Sale in Maheswaram Lines, Chandrayangutta, Srisailam Highway Hyderabad",Maheswaram Lines,1597,1440,,,,,Yes,2300000
"Plot/Land for Sale in Ghatkesar, NH 2 2 Hyderabad",Ghatkesar,1556,1980,,,HMDA,East,No,3100000
Plot/Land for Sale in Hayathnagar Khalsa Hyderabad,Hayathnagar Khalsa Hyderabad,10010,1998,,,,,Yes,20000000
Plot/Land for Sale in Balapur Hyderabad,Balapur Hyderabad,2778,1566,,,,,Yes,4400000
Plot/Land for Sale in Shamshabad Hyderabad,Shamshabad Hyderabad,5556,4500,,,,,Yes,25000000
Plot/Land for Sale in Lemoor Hyderabad,Lemoor Hyderabad,2329,1503,,,HMDA,East,No,3500000
Plot/Land for Sale in Nadergul Road Hyderabad,Nadergul Road Hyderabad,1481,2700,20 X 135,Freehold,,,Yes,4000000
Plot/Land for Sale in DTCP MEDCHAL Hyderabad,DTCP MEDCHAL Hyderabad,2096,5247,225 X 210,,DTCP,,Yes,11000000
Plot/Land for Sale in Machanpalle Shabad Hyderabad,Machanpalle Shabad Hyderabad,2963,2700,45 X 60,Freehold,,East,No,8000000
Plot/Land for Sale in Shapur Nagar Hyderabad,Shapur Nagar Hyderabad,6944,2160,480 X 240,,,,Yes,15000000
Plot/Land for Sale in Garden of Eden 8 Hyderabad,Garden of Eden 8 Hyderabad,1145,1485,45 X 33,,GHMC,,Yes,1700000
Plot/Land for Sale in Ibrahimpatnam Hyderabad,Ibrahimpatnam Hyderabad,5000,2000,,,,,Yes,10000000
Plot/Land for Sale in Kandukur Hyderabad,Kandukur Hyderabad,3098,3744,,,HMDA,,Yes,11600000
"Plot/Land for Sale in Bowrampet, Outer Ring Road Hyderabad",Bowrampet,2444,7506,,,,,Yes,18300000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1852,1620,,Freehold,HMDA,,Yes,3000000
Plot/Land for Sale in Shamshabad Hyderabad,Shamshabad Hyderabad,31250,3200,,,GHMC,,Yes,100000000
Plot/Land for Sale in Rajendranagar Mandal Hyderabad,Rajendranagar Mandal Hyderabad,5556,36000,1500 X 600,Freehold,GHMC,,Yes,200000000
Plot/Land for Sale in Shankarpalli Road Hyderabad,Shankarpalli Road Hyderabad,5556,18000,1500 X 600,Freehold,HMDA,,Yes,100000000
Plot/Land for Sale in Patancheruvu Hyderabad,Patancheruvu Hyderabad,5556,18000,1500 X 600,Freehold,HMDA,,Yes,100000000
Plot/Land for Sale in Shadnagar Bypass Road Hyderabad,Shadnagar Bypass Road Hyderabad,2667,1485,,,HMDA,,Yes,4000000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1212,1980,,,,,Yes,2400000
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,2333,45000,,,,,Yes,105000000
Plot/Land for Sale in Warangal Highway Hyderabad,Warangal Highway Hyderabad,6617,133,,,,East,No,900000
"Plot/Land for Sale in Sultanpur, Outer Ring Road Hyderabad",Sultanpur,3333,1350,,,,,Yes,4500000
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,1481,1350,120 X 11.2,Freehold,,East,No,2000000
Plot/Land for Sale in Turkayamjal Hyderabad,Turkayamjal Hyderabad,2465,2799,,,,,Yes,6900000
"Plot/Land for Sale in Quthbullapur, NH 7 Hyderabad",Quthbullapur,4556,1800,,,,,Yes,8200000
"Plot/Land for Sale in Raviryal, Outer Ring Road Hyderabad",Raviryal,5556,2250,150 X 135,Freehold,,,Yes,12500000
Plot/Land for Sale in Alwal Hyderabad,Alwal Hyderabad,6313,2376,,Freehold,,,Yes,15000000
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,1333,1350,,,,,Yes,1800000
Plot/Land for Sale in Ibrahimpatnam Road Hyderabad,Ibrahimpatnam Road Hyderabad,1481,1350,,,,,Yes,2000000
Plot/Land for Sale in TV COLONY RAMANTHPUR Hyderabad,TV COLONY RAMANTHPUR Hyderabad,8130,3690,,,GHMC,,Yes,30000000
Plot/Land for Sale in Hyderguda Hyderabad,Hyderguda Hyderabad,15000,1485,,Freehold,GHMC,,Yes,22300000
Plot/Land for Sale in Mokila Road Hyderabad,Mokila Road Hyderabad,9444,2700,,,,,Yes,25500000
Plot/Land for Sale in Medchal Hyderabad,Medchal Hyderabad,2222,4950,,,,,Yes,11000000
Plot/Land for Sale in Nandigama Kothur Hyderabad,Nandigama Kothur Hyderabad,4171,2997,16.6 X 180,,HMDA,,No,12500000
Plot/Land for Sale in Shankarpalli Road Hyderabad,Shankarpalli Road Hyderabad,3000,1800,180 X 108,Freehold,HMDA,East,No,5400000
Plot/Land for Sale in prakritik vihar balaji nagar yapral Hyderabad,prakritik vihar balaji nagar yapral Hyderabad,6254,4797,180 X 120,Freehold,HMDA,,Yes,30000000
Plot/Land for Sale in Bibinagar Hyderabad,Bibinagar Hyderabad,1222,1350,,,,,Yes,1600000
Plot/Land for Sale in Av devaki meadows Hyderabad,Av devaki meadows Hyderabad,2260,5310,270 X 177,,,,Yes,12000000
Plot/Land for Sale in Chengicherla Hyderabad,Chengicherla Hyderabad,1524,1575,,,,,Yes,2400000
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,1630,1350,,,,,Yes,2200000
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,3333,6660,,Freehold,,East,No,22200000
Plot/Land for Sale in Baswapur Siddipet Hyderabad,Baswapur Siddipet Hyderabad,1333,2700,,,,,Yes,3600000
Plot/Land for Sale in open plot Hyderabad,open plot Hyderabad,13095,2520,180 X 126,,GHMC,,Yes,33000000
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,2249,6669,,,,,Yes,15000000
Plot/Land for Sale in Kavuri Hills Madhapur Hyderabad,Kavuri Hills Madhapur Hyderabad,12027,1746,46.6 X 37.5,,,,Yes,21000000
Plot/Land for Sale in Medchal Hyderabad,Medchal Hyderabad,6944,2880,,,,,Yes,20000000
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,3333,11240,,,,,Yes,37500000
Plot/Land for Sale in Mekaguda Hyderabad,Mekaguda Hyderabad,2778,3600,,,,,Yes,10000000
"Plot/Land for Sale in Isnapur, Outer Ring Road Hyderabad",Isnapur,3611,3600,,,,,Yes,13000000
"Plot/Land for Sale in Hayat Nagar, Rajendra Nagar, Outer Ring Road Hyderabad",Hayat Nagar,2000,1800,,,,,Yes,3600000
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,1667,1683,,,,,Yes,2800000
"Plot/Land for Sale in Aushapur, NH 2 2 Hyderabad",Aushapur,1667,9000,540 X 16.7,Freehold,HMDA,,Yes,15000000
Plot/Land for Sale in Nagole Hyderabad,Nagole Hyderabad,3056,1800,600 X 600,,GHMC,,Yes,5500000
"Plot/Land for Sale in Pocharam, NH 2 2 Hyderabad",Pocharam,2778,1800,16.7 X 108,Freehold,,,Yes,5000000
Plot/Land for Sale in Nandi Kandi Hyderabad,Nandi Kandi Hyderabad,2148,1350,99 X 180,,DTCP,,Yes,2900000
Plot/Land for Sale in Kothaguda Batasingaram Hyderabad,Kothaguda Batasingaram Hyderabad,2589,1800,135 X 120,,HMDA,,Yes,4700000
Plot/Land for Sale in Patancheruvu Hyderabad,Patancheruvu Hyderabad,3889,1350,,,,,Yes,5300000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1667,1080,,,,,Yes,1800000
Plot/Land for Sale in Shankarpalli Road Hyderabad,Shankarpalli Road Hyderabad,2935,1908,,,,,Yes,5600000
Plot/Land for Sale in Shaikpet Hyderabad,Shaikpet Hyderabad,18519,5400,,Freehold,GHMC,,Yes,100000000
"Plot/Land for Sale in Hema Nagar, Secunderabad Hyderabad",Hema Nagar,8889,2700,,,,East,No,24000000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2252,999,120 X 833,,,East,No,2200000
Plot/Land for Sale in Rangareddy Hyderabad,Rangareddy Hyderabad,10684,936,,,,,Yes,10000000
Plot/Land for Sale in Bhuvanagiri Hyderabad,Bhuvanagiri Hyderabad,1297,1503,,Freehold,,East,No,1900000
Plot/Land for Sale in Patancheru near bhel Hyderabad,Patancheru near bhel Hyderabad,1667,1800,,Freehold,,West,Yes,3000000
Plot/Land for Sale in Peerzadiguda Road Hyderabad,Peerzadiguda Road Hyderabad,3258,3438,279 X 111,,,,Yes,11200000
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,1667,10800,180 X 60,,,East,No,18000000
Plot/Land for Sale in Anmagal Hayathnagar Hyderabad,Anmagal Hayathnagar Hyderabad,5168,3870,225 X 153,,GHMC,,Yes,20000000
Plot/Land for Sale in Secunderabad Hyderabad,Secunderabad Hyderabad,1556,36000,,,,,Yes,56000000
Plot/Land for Sale in Chegur Road Hyderabad,Chegur Road Hyderabad,1663,1503,45 X 33.4,,,,Yes,2500000
Plot/Land for Sale in scope farm Hyderabad,scope farm Hyderabad,2222,5400,,Freehold,,,Yes,12000000
Plot/Land for Sale in Yacharam Hyderabad,Yacharam Hyderabad,1587,1323,,,,,Yes,2100000
Plot/Land for Sale in MMR Estate Deshmukhi Village Hyderabad,MMR Estate Deshmukhi Village Hyderabad,1535,14400,,,HMDA,,Yes,22100000
Plot/Land for Sale in Budwel Hyderabad,Budwel Hyderabad,7556,1125,,,,,Yes,8500000
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,2475,1818,,,,,Yes,4500000
Plot/Land for Sale in Amangal Hyderabad,Amangal Hyderabad,2310,1818,54.9 X 33.1,Freehold,HMDA,,Yes,4200000
"Plot/Land for Sale in Hafeezpet, NH 9 Hyderabad",Hafeezpet,11852,2700,,,GHMC,,Yes,32000000
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,1244,2412,,,,,Yes,3000000
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,1321,4995,90 X 55.5,,,,Yes,6600000
Plot/Land for Sale in Yeliminedu Hyderabad,Yeliminedu Hyderabad,1500,1503,150 X 10,Freehold,HMDA,,Yes,2300000
Plot/Land for Sale in Medchal Hyderabad,Medchal Hyderabad,2111,2700,,,,,Yes,5700000
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,1111,2700,120 X 22.5,Freehold,DTCP,East,No,3000000
Plot/Land for Sale in Bhanur Hyderabad,Bhanur Hyderabad,4444,2097,53.8 X 39,Freehold,HMDA,,Yes,9300000
"Plot/Land for Sale in Gundlapochampally, Outer Ring Road Hyderabad",Gundlapochampally,5778,2394,60 X 39.9,,,,Yes,13800000
Plot/Land for Sale in Chanda Nagar Hyderabad,Chanda Nagar Hyderabad,171795,390,,,,,Yes,67000000
Plot/Land for Sale in Rampally Main Road Hyderabad,Rampally Main Road Hyderabad,5556,1800,,,GHMC,,Yes,10000000
Plot/Land for Sale in Turkapally Hyderabad,Turkapally Hyderabad,1111,1485,11 X 135,Freehold,DTCP,,Yes,1600000
Plot/Land for Sale in Yenkepally Hyderabad,Yenkepally Hyderabad,3889,1800,60 X 30,,,,Yes,7000000
Plot/Land for Sale in Kapra Hyderabad,Kapra Hyderabad,120435,276,,,,,Yes,33200000
Plot/Land for Sale in Maddikunta Hyderabad,Maddikunta Hyderabad,1543,1620,15 X 108,,DTCP,East,No,2500000
Plot/Land for Sale in Kadthal Hyderabad,Kadthal Hyderabad,1803,2385,66 X 36.1,Freehold,DTCP,East,No,4300000
Plot/Land for Sale in Nandi Kandi Hyderabad,Nandi Kandi Hyderabad,2111,1323,120 X 99,Freehold,DTCP,East,No,2800000
Plot/Land for Sale in Sreenagar Hyderabad,Sreenagar Hyderabad,3333,3510,24 X 146,Freehold,,,Yes,11700000
Plot/Land for Sale in Yapral Hyderabad,Yapral Hyderabad,2451,1224,,,,,Yes,3000000
Plot/Land for Sale in Shankarpalle Rangareddy Hyderabad,Shankarpalle Rangareddy Hyderabad,2222,5400,20 X 270,,,East,No,12000000
"Plot/Land for Sale in Hayat Nagar, Rajendra Nagar, Outer Ring Road Hyderabad",Hayat Nagar,2111,2187,,,,,Yes,4600000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1512,1323,,,DTCP,East,No,2000000
Plot/Land for Sale in Ismailkhanguda Hyderabad,Ismailkhanguda Hyderabad,4154,1926,165 X 105,,,,Yes,8000000
"Plot/Land for Sale in Isnapur, Outer Ring Road Hyderabad",Isnapur,5556,1800,,,,,Yes,10000000
"Plot/Land for Sale in Aushapur, NH 2 2 Hyderabad",Aushapur,1821,1647,,,HMDA,,Yes,3000000
Plot/Land for Sale in Medchal Hyderabad,Medchal Hyderabad,18333,600,,,,,Yes,11000000
"Plot/Land for Sale in Gundlapochampally, Outer Ring Road Hyderabad",Gundlapochampally,5151,1359,,,,,Yes,7000000
Plot/Land for Sale in Chegur Hyderabad,Chegur Hyderabad,1111,4500,,Freehold,DTCP,,Yes,5000000
Plot/Land for Sale in adibatla oppoaite TCS Hyderabad,adibatla oppoaite TCS Hyderabad,6944,1800,,,,,Yes,12500000
Plot/Land for Sale in simhapuri colony Hyderabad,simhapuri colony Hyderabad,11111,2403,180 X 120,,GHMC,,Yes,26700000
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,6944,2160,,Freehold,GHMC,,Yes,15000000
"Plot/Land for Sale in Sirka Oasis, Bhanur Hyderabad",Sirka Oasis,3167,4167,,,,,Yes,13200000
Plot/Land for Sale in Ramachandrapuram Hyderabad,Ramachandrapuram Hyderabad,7500,1800,,Freehold,,East,No,13500000
Plot/Land for Sale in Bibinagar Hyderabad,Bibinagar Hyderabad,1143,2790,60 X 46.5,,,,Yes,3200000
Plot/Land for Sale in silpa dreamvalley Hyderabad,silpa dreamvalley Hyderabad,10000,9000,300 X 270,Freehold,,,Yes,90000000
Plot/Land for Sale in Kadthal Hyderabad,Kadthal Hyderabad,1500,1368,,,DTCP,,Yes,2100000
Plot/Land for Sale in Sai Abhishek Enclave Hyderabad,Sai Abhishek Enclave Hyderabad,10667,150,,,,,Yes,1600000
Plot/Land for Sale in Gantlavelli Hyderabad,Gantlavelli Hyderabad,1370,1314,,Freehold,HMDA,East,No,1800000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,6667,180,,Freehold,HMDA,,Yes,1200000
Plot/Land for Sale in Isnapur Indira Karan Road Hyderabad,Isnapur Indira Karan Road Hyderabad,3159,2153,,,,,Yes,6800000
Plot/Land for Sale in Vikarabad Road Hyderabad,Vikarabad Road Hyderabad,1555,1485,,Freehold,,East,No,2300000
Plot/Land for Sale in Bogaram Hyderabad,Bogaram Hyderabad,1852,2160,60 X 36,Freehold,HMDA,,Yes,4000000
"Plot/Land for Sale in Moinabad, Chevella Road Hyderabad",Moinabad,1667,2403,120 X 180,Freehold,HMDA,,Yes,4000000
Plot/Land for Sale in Thimmapur Hyderabad,Thimmapur Hyderabad,2222,1800,20 X 90,Freehold,HMDA,,Yes,4000000
Plot/Land for Sale in green fields Hyderabad,green fields Hyderabad,1102,1089,,,GHMC,,Yes,1200000
Plot/Land for Sale in Kandukur Hyderabad,Kandukur Hyderabad,1784,4203,,Freehold,HMDA,,Yes,7500000
Plot/Land for Sale in Medchal Hyderabad,Medchal Hyderabad,3333,5400,,,,,Yes,18000000
"Plot/Land for Sale in Miyapur, NH 9 Hyderabad",Miyapur,3333,2700,,,,,Yes,9000000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1886,1485,,,,,Yes,2800000
"Plot/Land for Sale in Vikrampuri, Secunderabad Hyderabad",Vikrampuri,1389,3528,,Freehold,,,Yes,4900000
Plot/Land for Sale in Turkayamjal Hyderabad,Turkayamjal Hyderabad,6111,3600,,,,,Yes,22000000
"Plot/Land for Sale in Bongloor, Outer Ring Road Hyderabad",Bongloor,2778,2628,,,,,Yes,7300000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1667,1485,,,,,Yes,2500000
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,1444,45000,,,,,Yes,65000000
Plot/Land for Sale in Bhuvanagiri Nalgonda Road Hyderabad,Bhuvanagiri Nalgonda Road Hyderabad,1778,41400,300 X 138,Freehold,HMDA,East,No,73600000
Plot/Land for Sale in Medchal Hyderabad,Medchal Hyderabad,3111,4383,,,,,Yes,13600000
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,11429,1050,,,,,Yes,12000000
Plot/Land for Sale in Ibrahimpatnam Hyderabad,Ibrahimpatnam Hyderabad,1852,2160,12 X 180,,,East,No,4000000
"Plot/Land for Sale in Aushapur, NH 2 2 Hyderabad",Aushapur,1778,1503,90 X 150,,HMDA,,Yes,2700000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1833,1800,,,,,Yes,3300000
Plot/Land for Sale in Shankarpalle Hyderabad,Shankarpalle Hyderabad,1852,135000,,,HMDA,,Yes,250000000
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,1778,1800,120 X 135,,DTCP,East,No,3200000
"Plot/Land for Sale in Ghatkesar, NH 2 2 Hyderabad",Ghatkesar,3889,2700,,,,,Yes,10500000
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,2222,5400,,,,,Yes,12000000
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,1111,1350,,,DTCP,,Yes,1500000
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,1556,1647,,,,,Yes,2600000
"Plot/Land for Sale in Ghatkesar, NH 2 2 Hyderabad",Ghatkesar,2670,2400,,,,,Yes,6400000
Plot/Land for Sale in Yadagirigutta Hyderabad,Yadagirigutta Hyderabad,1111,1800,,,,,Yes,2000000
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,4444,1575,,,,,Yes,7000000
Plot/Land for Sale in Dabilpur Hyderabad,Dabilpur Hyderabad,1998,4806,,Freehold,HMDA,,Yes,9600000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2667,5220,,,,,Yes,13900000
Plot/Land for Sale in Amangal Hyderabad,Amangal Hyderabad,1333,1800,,,,,Yes,2400000
Plot/Land for Sale in Bibinagar Hyderabad,Bibinagar Hyderabad,1730,1503,36 X 41.8,,,,Yes,2600000
Plot/Land for Sale in Chevella Hyderabad,Chevella Hyderabad,3222,6975,,,,,Yes,22500000
Plot/Land for Sale in Shamshabad Hyderabad,Shamshabad Hyderabad,1667,1800,,,,,Yes,3000000
Plot/Land for Sale in Railway Colony Alwal Hyderabad,Railway Colony Alwal Hyderabad,5111,3960,66 X 60,Freehold,,East,No,20200000
Plot/Land for Sale in Gajularamaram Hyderabad,Gajularamaram Hyderabad,8333,1440,,,,,Yes,12000000
Plot/Land for Sale in Shamshabad Hyderabad,Shamshabad Hyderabad,1138,2196,,Freehold,,,No,2500000
"Plot/Land for Sale in Mangalpalle, Outer Ring Road Hyderabad",Mangalpalle,4074,1350,,,HMDA,,Yes,5500000
Plot/Land for Sale in Kandukur Hyderabad,Kandukur Hyderabad,116086,3015,,,,,Yes,350000000
Plot/Land for Sale in Janwada Hyderabad,Janwada Hyderabad,4098,1098,120 X 96,Freehold,,,Yes,4500000
Plot/Land for Sale in Alkapuri Hyderabad,Alkapuri Hyderabad,3000,2700,900 X 156,,,,Yes,8100000
Plot/Land for Sale in Burgul Hyderabad,Burgul Hyderabad,1510,1656,,,DTCP,,Yes,2500000
Plot/Land for Sale in Kandukur Hyderabad,Kandukur Hyderabad,3556,4500,,,,,Yes,16000000
"Plot/Land for Sale in Ghatkesar, NH 2 2 Hyderabad",Ghatkesar,2000,1800,,,,,Yes,3600000
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,2462,1503,,,,,Yes,3700000
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,2222,1800,,,,,Yes,4000000
Plot/Land for Sale in Gundlapochampalli Hyderabad,Gundlapochampalli Hyderabad,6242,2403,40 X 60.1,Freehold,,East,No,15000000
Plot/Land for Sale in Dammaiguda Hyderabad,Dammaiguda Hyderabad,2778,4653,,,,,Yes,12900000
Plot/Land for Sale in Mahadevpur Colony Hyderabad,Mahadevpur Colony Hyderabad,5167,1800,,,,,Yes,9300000
Plot/Land for Sale in Bandlaguda Jagir Hyderabad,Bandlaguda Jagir Hyderabad,9444,1080,,,GHMC,,Yes,10200000
Plot/Land for Sale in Patancheruvu Hyderabad,Patancheruvu Hyderabad,2917,2160,,,,,Yes,6300000
Plot/Land for Sale in Bhuvanagiri Hyderabad,Bhuvanagiri Hyderabad,2222,5400,,,,,Yes,12000000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,4913,1323,3 X 441,Freehold,GHMC,East,No,6500000
Plot/Land for Sale in Musheerabad Hyderabad,Musheerabad Hyderabad,19531,640,,,,,Yes,12500000
"Plot/Land for Sale in Uppal, NH 2 2 Hyderabad",Uppal,5556,540,,,,,Yes,3000000
Plot/Land for Sale in Kalyanpur Hyderabad,Kalyanpur Hyderabad,6944,720,,,,,Yes,5000000
Plot/Land for Sale in Gudimalkapur Hyderabad,Gudimalkapur Hyderabad,1700,1647,16.6 X 99,,DTCP,East,No,2800000
Plot/Land for Sale in near yadadri temple Hyderabad,near yadadri temple Hyderabad,1111,1980,,Freehold,,East,No,2200000
Plot/Land for Sale in Gudur Hyderabad,Gudur Hyderabad,2222,3150,26.2 X 120,Freehold,,,Yes,7000000
Plot/Land for Sale in Kothur Rangareddy Hyderabad,Kothur Rangareddy Hyderabad,1667,1980,,Freehold,HMDA,East,No,3300000
"Plot/Land for Sale in Pedso 1, Secunderabad Hyderabad",Pedso 1,6852,2700,60 X 45,,,,Yes,18500000
"Plot/Land for Sale in Rudraram, NH 9 Hyderabad",Rudraram,1778,1503,16.7 X 90,,HMDA,,No,2700000
Plot/Land for Sale in Choutuppal Hyderabad,Choutuppal Hyderabad,1926,1350,90 X 15,Freehold,HMDA,,Yes,2600000
Plot/Land for Sale in Ibrahimpatnam Hyderabad,Ibrahimpatnam Hyderabad,2296,2178,42 X 51.9,,,,Yes,5000000
Plot/Land for Sale in Gajularamaram Hyderabad,Gajularamaram Hyderabad,7722,1800,180 X 90,Freehold,GHMC,,Yes,13900000
Plot/Land for Sale in Bhanur Hyderabad,Bhanur Hyderabad,2833,5400,270 X 180,Freehold,,East,No,15300000
