property_title,locality,price_per_sqft,plot_area_sqft,dimensions,ownership,approval_authority,facing,gated_community,rounded_price_rs
Plot/Land for Sale in Farooqnagar Hyderabad,Farooqnagar Hyderabad,1389,1800,50 X 36,,,,Yes,2500000
Plot/Land for Sale in Pocharam Patancheruvu Hyderabad,Pocharam Patancheruvu Hyderabad,5000,1800,54 X 33.3,,HMDA,East,No,9000000
"Plot/Land for Sale in TPS Colony, Secunderabad Hyderabad",TPS Colony,3782,2400,,Freehold,GHMC,East,No,9100000
Plot/Land for Sale in Cherlapalli Hyderabad,Cherlapalli Hyderabad,4778,1350,135 X 90,Freehold,GHMC,East,No,6500000
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,2889,1800,,Freehold,HMDA,,Yes,5200000
Plot/Land for Sale in Meerkhanpet Hyderabad,Meerkhanpet Hyderabad,2000,1800,110 X 16.4,Freehold,,East,Yes,3600000
Plot/Land for Sale in Mokila Hyderabad,Mokila Hyderabad,6627,2403,180 X 120,Freehold,HMDA,,Yes,15900000
Plot/Land for Sale in Kongara Kalan Hyderabad,Kongara Kalan Hyderabad,3333,1494,,,HMDA,,Yes,5000000
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,1778,1350,,,HMDA,,Yes,2400000
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,3333,1350,,Freehold,HMDA,,Yes,4500000
Plot/Land for Sale in Kandukur Hyderabad,Kandukur Hyderabad,3333,1350,0.84 X 1635,Freehold,HMDA,East,No,4500000
Plot/Land for Sale in Pocharam Patancheruvu Hyderabad,Pocharam Patancheruvu Hyderabad,4667,1422,50 X 28.4,Freehold,HMDA,East,No,6600000
Plot/Land for Sale in Narepally Hyderabad,Narepally Hyderabad,4868,2835,,Freehold,,,Yes,13800000
Plot/Land for Sale in Shankarpalle Hyderabad,Shankarpalle Hyderabad,3111,1800,16.7 X 108,,,,Yes,5600000
Plot/Land for Sale in Pati Hyderabad,Pati Hyderabad,4630,2700,20 X 135,Freehold,HMDA,West,Yes,12500000
Plot/Land for Sale in Srisailam Highway Hyderabad,Srisailam Highway Hyderabad,2222,1800,108 X 150,,HMDA,,Yes,4000000
"Plot/Land for Sale in Chilkur Balaji Temple Road, Chevella Road Hyderabad",Chilkur Balaji Temple Road,3182,2200,48 X 45.83,,,,Yes,7000000
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,1348,1854,,,,,Yes,2500000
Plot/Land for Sale in Yadagirigutta Hyderabad,Yadagirigutta Hyderabad,1778,2700,150 X 162,,HMDA,,Yes,4800000
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,8052,267,4.45 X 60,Freehold,,East,No,2100000
Plot/Land for Sale in Athvelly Hyderabad,Athvelly Hyderabad,5086,3303,,,,,Yes,16800000
Plot/Land for Sale in Budhera Hyderabad,Budhera Hyderabad,1389,1800,60 X 30,Freehold,DTCP,,Yes,2500000
Plot/Land for Sale in Shankarpalle Hyderabad,Shankarpalle Hyderabad,2000,1800,,,DTCP,East,No,3600000
Plot/Land for Sale in Old Alwal Hyderabad,Old Alwal Hyderabad,7407,1080,120 X 7.5,Freehold,GHMC,,Yes,8000000
Plot/Land for Sale in Shamshabad Hyderabad,Shamshabad Hyderabad,1296,10800,360 X 300,Freehold,DTCP,East,No,14000000
"Plot/Land for Sale in Chilkur Balaji Temple Road, Chevella Road Hyderabad",Chilkur Balaji Temple Road,1667,2997,,,,,Yes,5000000
Plot/Land for Sale in Jubilee Hills Hyderabad,Jubilee Hills Hyderabad,22222,3600,270 X 120,Freehold,GHMC,,Yes,80000000
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,2111,1215,45 X 27,Freehold,HMDA,East,No,2600000
Plot/Land for Sale in Sangyam Hyderabad,Sangyam Hyderabad,1684,1485,495 X 3,,,,Yes,2500000
Plot/Land for Sale in Ankushapur Hyderabad,Ankushapur Hyderabad,1222,2700,20 X 135,Freehold,,East,Yes,3300000
Plot/Land for Sale in Kondapur Hyderabad,Kondapur Hyderabad,105485,237,6.77 X 35,Freehold,,East,Yes,25000000
"Plot/Land for Sale in Raviryal, Outer Ring Road Hyderabad",Raviryal,3333,1800,150 X 12,,,,Yes,6000000
Plot/Land for Sale in Budhera Hyderabad,Budhera Hyderabad,1145,6552,,,,,Yes,7500000
Plot/Land for Sale in Kandwada Village Road Hyderabad,Kandwada Village Road Hyderabad,1667,2700,135 X 180,,,,Yes,4500000
Plot/Land for Sale in Nandigaon Hyderabad,Nandigaon Hyderabad,1157,2160,,,,,Yes,2500000
Plot/Land for Sale in Medchal Hyderabad,Medchal Hyderabad,2444,1800,,,HMDA,,Yes,4400000
Plot/Land for Sale in Shankarpalli Hyderabad Road Hyderabad,Shankarpalli Hyderabad Road Hyderabad,2444,1620,15 X 108,Freehold,,East,No,4000000
Plot/Land for Sale in Shankarpalli Mominpet Road Hyderabad,Shankarpalli Mominpet Road Hyderabad,1600,2250,,,DTCP,,Yes,3600000
Plot/Land for Sale in Gurram Guda Hyderabad,Gurram Guda Hyderabad,3876,1548,81 X 19.1,Freehold,HMDA,West,Yes,6000000
Plot/Land for Sale in Kondapur Hyderabad,Kondapur Hyderabad,4163,1953,,,HMDA,,Yes,8100000
Plot/Land for Sale in Jillelagadda Hyderabad,Jillelagadda Hyderabad,8000,2484,186 X 120,,,,Yes,19900000
Plot/Land for Sale in Pochampalle Hyderabad,Pochampalle Hyderabad,1111,2700,1.35 X 1980,Freehold,,,Yes,3000000
Plot/Land for Sale in Kapra Hyderabad,Kapra Hyderabad,6536,2142,,,,,Yes,14000000
"Plot/Land for Sale in Isnapur, Outer Ring Road Hyderabad",Isnapur,4444,1800,90 X 20,Freehold,HMDA,East,No,8000000
Plot/Land for Sale in Railapur Hyderabad,Railapur Hyderabad,3333,1800,90 X 20,Freehold,HMDA,,Yes,6000000
"Plot/Land for Sale in Rudraram, NH 9 Hyderabad",Rudraram,1889,1800,60 X 30,Freehold,HMDA,East,No,3400000
"Plot/Land for Sale in Gundlapochampally, Outer Ring Road Hyderabad",Gundlapochampally,6667,1800,57 X 31.6,Freehold,,East,No,12000000
"Plot/Land for Sale in Dundigal, Outer Ring Road Hyderabad",Dundigal,3333,3600,,Freehold,HMDA,,Yes,12000000
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,2667,1350,36 X 37.5,Freehold,HMDA,East,No,3600000
Plot/Land for Sale in Shankarpalle Hyderabad,Shankarpalle Hyderabad,2111,1800,105 X 17.1,Freehold,HMDA,East,No,3800000
Plot/Land for Sale in Bhuvanagiri Hyderabad,Bhuvanagiri Hyderabad,1778,1800,,Freehold,HMDA,East,No,3200000
"Plot/Land for Sale in Kollur, Outer Ring Road Hyderabad",Kollur,8333,2403,48 X 50.1,Freehold,HMDA,East,No,20000000
"Plot/Land for Sale in Kollur, Outer Ring Road Hyderabad",Kollur,30000,200,45 X 4.44,Freehold,DTCP,,Yes,6000000
Plot/Land for Sale in Pulumamidi Hyderabad,Pulumamidi Hyderabad,1111,2178,120 X 18.1,Freehold,HMDA,,No,2400000
Plot/Land for Sale in Shamirpet Hyderabad,Shamirpet Hyderabad,3875,2142,64.91 X 33,Freehold,HMDA,,No,8300000
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,2444,1494,90.1 X 16.6,Freehold,HMDA,East,No,3700000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2444,1998,54 X 37,Freehold,HMDA,,Yes,4900000
"Plot/Land for Sale in Kollur, Outer Ring Road Hyderabad",Kollur,4556,1350,,Freehold,HMDA,,Yes,6200000
"Plot/Land for Sale in Kollur, Outer Ring Road Hyderabad",Kollur,5535,2403,120 X 20,Freehold,HMDA,East,No,13300000
Plot/Land for Sale in Kondapur Hyderabad,Kondapur Hyderabad,139000,300,16 X 1875,Freehold,GHMC,East,No,41700000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2556,1980,35 X 56.57,Freehold,HMDA,East,No,5100000
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,1444,1647,,,,,Yes,2400000
Plot/Land for Sale in Choutapally Hyderabad,Choutapally Hyderabad,1963,1503,150 X 90,,,,Yes,3000000
Plot/Land for Sale in Athvelly Hyderabad,Athvelly Hyderabad,4661,2403,20 X 120,Freehold,,,Yes,11200000
Plot/Land for Sale in Nandigaon Hyderabad,Nandigaon Hyderabad,1956,2403,,,HMDA,,Yes,4700000
Plot/Land for Sale in Lalgadi Malakpet Hyderabad,Lalgadi Malakpet Hyderabad,1714,10500,420 X 25,Freehold,GHMC,,Yes,18000000
Plot/Land for Sale in Talakondapalle Hyderabad,Talakondapalle Hyderabad,1212,1485,45 X 33,Freehold,DTCP,,Yes,1800000
Plot/Land for Sale in nandhi Kandi Hyderabad,nandhi Kandi Hyderabad,2088,1485,135 X 99,Freehold,,East,No,3100000
Plot/Land for Sale in Adibatla Hyderabad,Adibatla Hyderabad,2889,1674,138 X 12.1,Freehold,HMDA,,Yes,4800000
Plot/Land for Sale in BNR hills Hyderabad,BNR hills Hyderabad,22222,5850,,Freehold,GHMC,,Yes,130000000
Plot/Land for Sale in Maheshwaram Hyderabad,Maheshwaram Hyderabad,2778,1629,54 X 30.2,Freehold,HMDA,East,No,4500000
Plot/Land for Sale in Shamirpet Hyderabad,Shamirpet Hyderabad,1569,4779,79 X 60.5,,,,Yes,7500000
Plot/Land for Sale in Sangareddy Hyderabad,Sangareddy Hyderabad,2167,1323,99 X 120,,DTCP,,Yes,2900000
"Plot/Land for Sale in Bongloor, Outer Ring Road Hyderabad",Bongloor,2963,1620,135 X 90,,HMDA,,Yes,4800000
Plot/Land for Sale in Nandigaon Hyderabad,Nandigaon Hyderabad,3400,1647,10.6 X 156,Freehold,DTCP,,No,5600000
Plot/Land for Sale in Yacharam Hyderabad,Yacharam Hyderabad,1010,1485,,,DTCP,,Yes,1500000
Plot/Land for Sale in Digwal Hyderabad,Digwal Hyderabad,1778,1800,72 X 25,,,,Yes,3200000
Plot/Land for Sale in Agapally Hyderabad,Agapally Hyderabad,2222,1800,,,HMDA,,Yes,4000000
Plot/Land for Sale in Mangalpally Hyderabad,Mangalpally Hyderabad,2083,7200,2400 X 2400,Freehold,,East,No,15000000
Plot/Land for Sale in Patancheruvu Hyderabad,Patancheruvu Hyderabad,4222,2700,45 X 60,,,,Yes,11400000
Plot/Land for Sale in Machanpalle Shabad Hyderabad,Machanpalle Shabad Hyderabad,3000,2700,15 X 180,Freehold,HMDA,East,No,8100000
"Plot/Land for Sale in Manasa Hills, Rajendra Nagar Hyderabad",Manasa Hills,10000,2700,60 X 45,Freehold,,,Yes,27000000
Plot/Land for Sale in sulthanpur jntu Hyderabad,sulthanpur jntu Hyderabad,1889,1323,99 X 120,,,,Yes,2500000
Plot/Land for Sale in Kadthal Hyderabad,Kadthal Hyderabad,1263,1980,165 X 108,Freehold,DTCP,,Yes,2500000
Plot/Land for Sale in Kadthal Hyderabad,Kadthal Hyderabad,1333,4500,,,,,Yes,6000000
Plot/Land for Sale in Srisailam Highway Hyderabad,Srisailam Highway Hyderabad,1556,1800,135 X 120,,DTCP,,Yes,2800000
Plot/Land for Sale in Yadagirigutta Hyderabad,Yadagirigutta Hyderabad,1333,1350,,,DTCP,East,No,1800000
"Plot/Land for Sale in Ghatkesar, NH 2 2 Hyderabad",Ghatkesar,1667,1620,114 X 14.2,Freehold,,East,No,2700000
Plot/Land for Sale in Kongara Kalan Hyderabad,Kongara Kalan Hyderabad,2667,1350,,,HMDA,,Yes,3600000
Plot/Land for Sale in Gundlapochampalli Hyderabad,Gundlapochampalli Hyderabad,6296,1350,,Freehold,HMDA,East,No,8500000
"Plot/Land for Sale in Gundlapochampally, Outer Ring Road Hyderabad",Gundlapochampally,7580,2124,17.7 X 120,Freehold,,,Yes,16100000
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,2002,1998,,,,,Yes,4000000
Plot/Land for Sale in Toopranpet Hyderabad,Toopranpet Hyderabad,1128,2394,,,,,Yes,2700000
Plot/Land for Sale in Srisailam Highway Hyderabad,Srisailam Highway Hyderabad,1944,3600,,Freehold,HMDA,,Yes,7000000
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,1537,2277,,,,,Yes,3500000
Plot/Land for Sale in Turkayamjal Hyderabad,Turkayamjal Hyderabad,3885,1467,102 X 14.4,Freehold,HMDA,,Yes,5700000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1667,1800,,,HMDA,,Yes,3000000
Plot/Land for Sale in Mirkhanpet Hyderabad,Mirkhanpet Hyderabad,1944,1800,135 X 13.3,Freehold,DTCP,East,No,3500000
Plot/Land for Sale in Nandigaon Hyderabad,Nandigaon Hyderabad,5111,1800,180 X 9.99,,,,Yes,9200000
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",Kothur,2125,1647,33 X 49.9,Freehold,HMDA,,Yes,3500000
Plot/Land for Sale in Shamirpet Hyderabad,Shamirpet Hyderabad,1111,1350,,,,,Yes,1500000
Plot/Land for Sale in Agapally Hyderabad,Agapally Hyderabad,2111,1800,,,HMDA,,Yes,3800000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,2333,1350,,,HMDA,,Yes,3100000
Plot/Land for Sale in Keesara Daira Hyderabad,Keesara Daira Hyderabad,2778,2340,180 X 117,Freehold,HMDA,,Yes,6500000
Plot/Land for Sale in Gachibowli Hyderabad,Gachibowli Hyderabad,5227,3420,150 X 22.8,Freehold,HMDA,West,Yes,17900000
Plot/Land for Sale in Hitech City Hyderabad,Hitech City Hyderabad,27781,4499,50 X 90,,,,Yes,125000000
Plot/Land for Sale in Rajendranagar Mandal Hyderabad,Rajendranagar Mandal Hyderabad,18333,3375,120 X 28.1,Freehold,GHMC,,Yes,61900000
Plot/Land for Sale in Dr Raos Prakruthivanam Hyderabad,Dr Raos Prakruthivanam Hyderabad,1210,1818,,,HMDA,,Yes,2200000
Plot/Land for Sale in Sheriguda Hyderabad,Sheriguda Hyderabad,2778,1350,45 X 30,Freehold,HMDA,,Yes,3800000
Plot/Land for Sale in Tirumalagiri Hyderabad,Tirumalagiri Hyderabad,10472,3600,,Freehold,GHMC,,Yes,37700000
"Plot/Land for Sale in Kokapet, Outer Ring Road Hyderabad",Kokapet,18333,4518,270 X 16.7,Freehold,HMDA,,Yes,82800000
Plot/Land for Sale in Sadashivpet Hyderabad,Sadashivpet Hyderabad,2148,1350,90 X 15,Freehold,DTCP,,Yes,2900000
Plot/Land for Sale in Shankarpalle Hyderabad,Shankarpalle Hyderabad,3889,1800,108 X 16.7,Freehold,HMDA,,Yes,7000000
Plot/Land for Sale in Shadnagar Hyderabad,Shadnagar Hyderabad,1058,1320,20 X 66,Freehold,,,Yes,1400000
Plot/Land for Sale in Kongara Kalan Hyderabad,Kongara Kalan Hyderabad,3077,1170,30 X 39,,HMDA,,Yes,3600000
